"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"aircraft_repaired";"Vehicle repaired";"Véhicule réparé";"Unità Riparata";"Fahrzeug repariert";"Vehículo reparado";"Техника отремонтирована";"Naprawa zakończona";"Letoun opraven";"Araç onarıldı";"载​具​已​修​复";"機体が\t修理されました";"Veículo reparado";"Техніка відремонтована";"Vozilo popravljeno";"Jármű megjavítva";"수리 완료";"Тэхніка адрамантавана";"Vehicle repaired";"載​具​已​修​復";"车​辆​已​修​理";"Phương tiện đã được sửa chữa";;
"aircraft_rearmed";"Vehicle rearmed";"Véhicule réarmé";"Unità Riarmata";"Fahrzeug neu bewaffnet";"Vehículo rearmado";"Боезапас восполнен";"Uzbrojenie uzupełnione";"Letoun přezbrojen";"Araca mühimmat yüklendi";"弹​药​已​补​充";"機体が\t再武装されました";"Veículo rearmado";"Боєзапас заповнено";"Vozilo ponovo naoružano";"Jármű újrafegyverezve";"재무장 완료";"Боезапас папоўнены";"Vehicle rearmed";"彈​藥​已​補​充";"整​备​修​理";"Phương tiện đã được nạp đạn";;
"aircraft_refueled";"Vehicle refueled";"Véhicule ravitaillé";"Unità Rifornita";"Fahrzeug aufgetankt";"Vehículo reabastecido";"Техника заправлена";"Paliwo uzupełnione";"Letoun dotankován";"Araca yakıt ikmali yapıldı";"燃​油​已​补​充";"機体の\t燃料が\t補給されました";"Veículo reabastecido";"Техніка заправлена";"Vozilo napunjeno gorivom";"Jármű megtankolva";"재급유 완료";"Тэхніка запраўлена";"Vehicle refueled";"燃​油​已​補​充";"燃​油​补​充";"Phương tiện đã tiếp nhiên liệu";;
"hints/objective_success";"Mission objective completed";"Objectif de la mission atteint";"Obiettivo missione completato";"Missionsziel abgeschlossen";"Objetivo de la misión completado";"Задание выполнено";"Cel misji osiągnięty";"Úkol splněn";"Verilen görev tamamlandı";"任​务​目​标​完​成";"ミッション\t目標を\t達成しました";"Objetivo da missão completo";"Завдання виконано";"Obavljen zadatak misije";"Feladat teljesítve";"임무 목표 달성";"Задача выканана";"Obiectiv misiune completat";"任​務​目​標​完​成";"任​务​目​标​完​成";"Mục tiêu nhiệm vụ đã hoàn thành";;
"hints/objective_fail";"Mission objective failed";"Objectif de la mission échoué";"Obiettivo missione fallito";"Missionsziel gescheitert";"Objetivo de misión fallido";"Задание провалено";"Cel misji nieosiągnięty";"Úkol nesplněn";"Verilen görev başarısız oldu";"任​务​目​标​失​败";"ミッション\t目標を\t達成できませんでした";"Objetivo da missão falhado";"Завдання провалене";"Neuspešno obavljen zadatak misije";"Sikertelen feladat";"임무 실패";"Задача не выканана";"Obiectiv misiune eșuat";"任​務​目​標​失​敗";"任​务​目​标​失​败";"Mục tiêu nhiệm vụ đã thất bại";;
"hints/secondary_added";"Secondary objective received";"Objectif secondaire reçu";"Obiettivo secondario ricevuto";"Sekundäres Missionsziel empfangen";"Objetivo secundario recibido";"Получено второстепенное задание";"Otrzymano cel poboczny";"Nový vedlejší úkol";"Tali görev alındı";"接​到​次​要​任​务";"第二の\t任務を\t受信しました";"Objetivo secundário recebido";"Отримане другорядне завдання";"Dobijen sekundarni zadatak";"Új másodlagos feladat";"추가 목표 하달";"Атрымана дадатковая задача";"Obiectiv secundar recepționat";"接​到​次​要​任​務";"接​到​次​要​任​务";"Mục tiêu phụ đã được nhận";;
"hints/secondary_success";"Secondary objective completed";"Objectif secondaire complété";"Obiettivo secondario completato";"Sekundäres Missionsziel abgeschlossen";"Objetivo secundario completado";"Второстепенное задание выполнено";"Cel poboczny osiągnięty";"Vedlejší úkol splněn";"Tali görev tamamlandı";"已​完​成​次​要​任​务";"第二の\t任務を\t達成しました";"Objetivo secundário concluído";"Другорядне завдання виконано";"Završen sekundarni zadatak";"Másodlagos feladat teljesítve";"추가 목표 완료";"Дадатковая задача выканана";"Obiectiv secundar completat";"已​完​成​次​要​任​務";"已​完​成​次​要​任​务";"Mục tiêu phụ đã hoàn thành";;
"hints/secondary_fail";"Secondary objective failed";"Objectif secondaire manqué";"Obiettivo secondario fallito";"Sekundäres Missionsziel fehlgeschlagen";"Objetivo secundario fallido";"Второстепенное задание провалено";"Cel poboczny nieosiągnięty";"Vedlejší úkol nesplněn";"İkincil görev başarısız oldu";"次​要​任​务​已​失​败";"第二の\t任務に\t失敗しました";"Objetivo secundário falhado";"Другорядне завдання провалене";"Propao sekundarni zadatak";"Sikertelen másodlagos feladat";"추가 목표 실패";"Дадатковая задача не выканана";"Obiectiv secundar eșuat";"次​要​任​務​已​失​敗";"次​要​任​务​已​失​败";"Nhiệm vụ phụ đã thất bại";;
"hints/objective_success_extended";"Mission objective: {missionObj} completed";"Objectif de mission: {missionObj} réussi";"Obiettivo missione: {missionObj} completato";"Missionsziel: {missionObj} abgeschlossen";"Objetivo de misión: {missionObj} completado";"Задание: {missionObj} выполнено";"Cel misji: {missionObj} został wykonany";"Úkol: {missionObj} splněn";"Görev hedefi: {missionObj} tamamlandı";"任​务​目​标​已​完​成：​{missionObj}";"ミッション\t目標：\t{missionObj}完了";"Objetivo da missão: {missionObj} completado";"Завдання: {missionObj} виконано";"Zadatak misije: {missionObj} izvršen";"Sikeres küldetési cél: {missionObj}";"임무 목표: {missionObj} 완료됨";"Задача: {missionObj} выканана";"Obiectiv misiune: {missionObj} completat";"任​務​目​標​已​完​成：​{missionObj}";"任​务​目​标​已​完​成：​{missionObj}";"Nhiệm vụ: {missionObj} đã hoàn thành";;
"hints/objective_fail_extended";"Mission objective: {missionObj} failed";"Objectif de mission: {missionObj} échoué";"Obiettivo missione: {missionObj} failed";"Missionsziel: {missionObj} fehlgeschlagen";"Objetivo de misión: {missionObj} fallido";"Задание: {missionObj} провалено";"Cel misji: {missionObj} nie został wykonany";"Úkol: {missionObj} nesplněn";"Görev hedefi: {missionObj} başarısız oldu";"任​务​目​标​已​失​败：​{missionObj}";"ミッション\t目標：\t{missionObj}失敗";"Objetivo da missão: {missionObj} falhado";"Завдання: {missionObj} провалено";"Zadatak misije: {missionObj} neuspeo";"Sikertelen küldetési cél: {missionObj}";"주요 임무: {missionObj} 실패";"Задача: {missionObj} не выканана";"Obiectiv misiune: {missionObj} eșuat";"任​務​目​標​已​失​敗：​{missionObj}";"任​务​目​标​已​失​败：​{missionObj}";"Nhiệm vụ: {missionObj} đã thất bại";;
