"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"country_japan_pilot_1";"Hiroyoshi Nishizawa";"Hitoyoshi Ishikawa";"Hiroyoshi Nishizawa";"Hiroyoshi Nishizawa";"Hiroyoshi Nishizawa";"Хироёси Нисизава";"Hiroyoshi Nishizawa";"Hirojoši Nišizawa";"Hiroyoshi Nishizawa";"Hiroyoshi Nishizawa";"西沢広義";"Hiroyoshi Nishizawa";"Хіройосі Нісізава";"Hiroyoshi Nishizawa";"Nisizava Hirojosi";"니시자와 히로요시";"Хіраёсі Нісідзава";"««Hiroyoshi Nishizawa»»";"西\t澤\t廣\t義";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Hiroyoshi Nishizawa";;
"country_japan_pilot_2";"Tetsuzo Iwamoto";"Etsuko Iwamoto";"Tetsuzo Iwamoto";"Tetsuzo Iwamoto";"Tetsuzo Iwamoto";"Тетсузо Ивамото";"Tetsuzo Iwamoto";"Tecuo Iwamoto";"Tetsuzo Iwamoto";"Tetsuzo Iwamoto";"岩本徹三";"Tetsuzo Iwamoto";"Тетсузо Івамото";"Tetsuzo Iwamoto";"Ivamoto Tecuzó";"이와모토 테츠조";"Тэцузо Івамато";"««Tetsuzo Iwamoto»»";"岩\t本\t徹\t三";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Tetsuzo Iwamoto";;
"country_japan_pilot_3";"Shigeo Fukumoto";"Shigeo Fukumoto";"Shigeo Fukumoto";"Shigeo Fukumoto";"Shigeo Fukumoto";"Сигео Фукумото";"Shigeo Fukumoto";"Šigeo Fukumoto";"Shigeo Fukumoto";"Shigeo Fukumoto";"福本繁夫";"Shigeo Fukumoto";"Сігео Фукумото";"Shigeo Fukumoto";"Fukumoto Sigeo";"후쿠모토 시게오";"Сігео Фукумато";"««Shigeo Fukumoto»»";"福\t本\t繁\t夫";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Shigeo Fukumoto";;
"country_japan_pilot_4";"Shoichi Sugita";"Shoichi Sugita";"Shoichi Sugita";"Shoichi Sugita";"Shoichi Sugita";"Сёити Сугита";"Shoichi Sugita";"Šoiči Sugita";"Shoichi Sugita";"Shoichi Sugita";"杉田庄一";"Shoichi Sugita";"Сьоїті Суґіта";"Shoichi Sugita";"Szugita Soicsi";"스기타 쇼이치";"Сёйці Сугіта";"««Shoichi Sugita»»";"杉\t田\t莊\t一";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Shoichi Sugita";;
"country_australia_pilot_1";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Этвуд Чени";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"アトウッド・チェイニー";"Atwood Chaney";"Етвуд Чені";"Atwood Chaney";"Atwood Chaney";"앳우드 채니";"Этвуд Чэні";"««Atwood Chaney»»";"阿\t特\t伍\t德．查\t尼";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Atwood Chaney";;
"country_australia_pilot_2";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"モーガン・ブレット";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"모건 브렛";"Морган Брэт";"««Morgan Brett»»";"摩\t根．布\t雷\t特";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Morgan Brett";;
"country_australia_pilot_3";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Мартин Блэки";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"マーチン・ブランキー";"Martin Blakey";"Мартін Блекі";"Martin Blakey";"Martin Blakey";"마틴 블래키";"Марцін Блэкі";"««Martin Blakey»»";"馬\t丁．布\t萊\t基";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Martin Blakey";;
"country_australia_pilot_4";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Оскар Аткин";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"オスカー・アトキン";"Oscar Atkin";"Оскар Аткін";"Oscar Atkin";"Oscar Atkin";"오스카 앳킨";"Оскар Эткін";"««Oscar Atkin»»";"奧\t斯\t卡．阿\t特\t金";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Oscar Atkin";;
"country_britain_pilot_1";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Этвуд Чени";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"アトウッド・チェイニー";"Atwood Chaney";"Етвуд Чені";"Atwood Chaney";"Atwood Chaney";"앳우드 채니";"Этвуд Чэні";"««Atwood Chaney»»";"阿\t特\t伍\t德．查\t尼";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Atwood Chaney";;
"country_britain_pilot_2";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"モーガン・ブレット";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"모건 브렛";"Морган Брэт";"««Morgan Brett»»";"摩\t根．佈\t雷\t特";"««\t〔AI-\t陪\t练\t机\t器\t人〕\t»»";"Morgan Brett";;
