"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"decalSlot_0";"Decal Slot 1";"Espace pour décorer 1";"Slot decor. 1";"Abzeichenplatz 1";"Ranura para Estampa 1";"Слот для наклеек 1";"Gniazdo na oznaczenie 1";"pozice pro emblém #1";"Çıkartma 1";"贴\t花\t栏 1";"デカールスロット\t1";"Decalque Slot 1";"Слот для наклейок 1";"Slot za nalepnicu 1";"Matrica 1";"데칼 슬롯 1";"Месца пад эмблему 1";"Spațiu emblema 1";"貼\t花\t欄 1";"贴\t花\t栏 1";"Vị trí decal 1";;
"decalSlot_1";"Decal Slot 2";"Espace pour décorer 2";"Slot decor. 2";"Abzeichenplatz 2";"Ranura para Estampa 2";"Слот для наклеек 2";"Gniazdo na oznaczenie 2";"pozice pro emblém #2";"Çıkartma 2";"贴\t花\t栏 2";"デカールスロット\t2";"Decalque Slot 2";"Слот для наклейок 2";"Slot za nalepnicu 2";"Matrica 2";"데칼 슬롯 2";"Месца пад эмблему 2";"Spațiu emblema 2";"貼\t花\t欄 2";"贴\t花\t栏 2";"Vị trí decal 2";;
"decalSlot_2";"Decal Slot 3";"Espace pour décorer 3";"Slot decor. 3";"Abzeichenplatz 3";"Ranura para Estampa 3";"Слот для наклеек 3";"Gniazdo na oznaczenie 3";"pozice pro emblém #3";"Çıkartma 3";"贴\t花\t栏 3";"デカールスロット\t3";"Decalque Slot 3";"Слот для наклейок 3";"Slot za nalepnicu 3";"Matrica 3";"데칼 슬롯 3";"Месца пад эмблему 3";"Spațiu emblema 3";"貼\t花\t欄 3";"贴\t花\t栏 3";"Vị trí decal 3";;
"decalSlot_3";"Decal Slot 4";"Espace pour décorer 4";"Slot decor. 4";"Abzeichenplatz 4";"Ranura para Estampa 4";"Слот для наклеек 4";"Gniazdo na oznaczenie 4";"pozice pro emblém #4";"Çıkartma 4";"贴\t花\t栏 4";"デカールスロット\t4";"Decalque Slot 4";"Слот для наклейок 4";"Slot za nalepnicu 3";"Matrica 4";"데칼 슬롯 4";"Месца пад эмблему 4";"Spațiu emblema 4";"貼\t花\t欄 4";"贴\t花\t栏 4";"Vị trí decal 4";;
"decals/category/special";"Special";"Spécial";"Speciale";"Spezielle Abzeichen";"Especial";"Другое";"Specjalne";"Speciální";"Özel";"特\t殊";"スペシャル";"Especial";"Інші";"Specijalni";"Különleges";"스페셜";"Спецыяльныя";"Speciale";"特\t殊";"特\t殊";"Đặc biệt";;
"decals/category/tournament";"Tournament";"Tournoi";"Torneo";"Turnier";"Torneo";"Турниры";"Turniej";"Turnaj";"Turnuva";"锦\t标\t赛";"トーナメント";"Torneio";"Турніри";"Turnir";"Bajnokság";"토너먼트";"Турніры";"Turneu";"錦\t標\t賽";"竞\t技\t场";"Giải đấu";;
"decals/category/un_flags";"World Flags";"Drapeaux nationaux";"Bandiere Mondiali";"Nationalflaggen";"Banderas del Mundo";"Флаги стран мира";"Flagi Świata";"Státní vlajky";"Ülke Bayrakları";"旗\t帜";"国旗";"Bandeiras do mundo";"Прапори країн світу";"Zastave Zemalja";"Nemzeti zászlók";"세계 국기";"Флагі краін свету";"Steaguri țări";"國\t旗";"国\t旗";"Cờ quốc gia";;
"decals/category/numbers";"Digits";"Chiffres";"Numeri";"Ziffern";"Dígitos";"Цифры";"Cyfry";"Číslice";"Sayılar";"数\t字";"数字";"Dígitos";"Цифри";"Brojevi";"Számjegyek";"숫자";"Лічбы";"Cifre";"數\t字";"数\t字";"Chữ số";;
"decals/category/common";"Common";"Commun";"Comune";"Allgemeines";"Común";"Общее";"Wspólne";"Univerzální";"Ortak";"通\t用";"共通";"Comum";"Загальні";"Opšti";"Általános";"공통";"Агульнае";"Comune";"通\t用";"通\t用";"Phổ biến";;
"decals/category/counters";"Victory Marks";"Marque de victoire";"Segni di uccisione";"Siegesmarkierungen";"Marcas de Victoria";"Отметки о победах";"Oznaczenia zestrzeleń";"Symboly úspěchů";"Zafer İşaretleri";"胜\t利\t徽\t标";"撃墜\tマーク";"Marcas de vitória";"Відмітки про перемоги";"Pobedničke Oznake";"Győzelmi jelzések";"킬 마크";"Адзнакі перамог";"Însemne victorii";"勝\t利\t徽\t標";"胜\t利\t徽\t标";"Quân hiệu chiến thắng";;
